N	bubble	shaker	comb	insertion	selection	quick	merge	heap
0	0	0	0.002	0	0	0	0	0
10	0.002	0.001	0.002	0	0.002	0.001	0.002	0.003
20	0.007	0.004	0.005	0.001	0.005	0.002	0.003	0.007
30	0.016	0.008	0.009	0.002	0.01	0.003	0.005	0.01
40	0.038	0.013	0.014	0.004	0.017	0.005	0.006	0.014
50	0.037	0.02	0.02	0.006	0.026	0.006	0.008	0.018
60	0.05	0.029	0.027	0.009	0.037	0.009	0.01	0.024
70	0.069	0.038	0.036	0.01	0.049	0.011	0.012	0.028
80	0.09	0.051	0.044	0.014	0.063	0.014	0.014	0.033
90	0.114	0.067	0.055	0.016	0.079	0.016	0.016	0.041
100	0.138	0.08	0.066	0.02	0.097	0.019	0.018	0.044
110	0.165	0.092	0.078	0.027	0.116	0.02	0.02	0.049
120	0.193	0.114	0.091	0.03	0.137	0.022	0.022	0.053
130	0.234	0.134	0.105	0.036	0.159	0.029	0.024	0.062
140	0.278	0.162	0.119	0.044	0.184	0.032	0.026	0.063
150	0.314	0.172	0.134	0.048	0.21	0.037	0.036	0.07
160	0.381	0.186	0.15	0.058	0.239	0.037	0.03	0.079
170	0.392	0.244	0.168	0.06	0.269	0.041	0.033	0.081
180	0.453	0.255	0.186	0.062	0.359	0.047	0.035	0.114
190	0.506	0.288	0.205	0.107	0.361	0.052	0.037	0.09
200	0.543	0.306	0.224	0.123	0.368	0.058	0.041	0.095
210	0.607	0.349	0.247	0.095	0.405	0.059	0.042	0.101
220	0.677	0.394	0.268	0.102	0.443	0.067	0.044	0.105
230	0.758	0.401	0.291	0.113	0.484	0.073	0.046	0.113
240	1.14	0.442	0.314	0.12	0.527	0.076	0.05	0.117
250	0.888	0.478	0.34	0.134	0.665	0.078	0.05	0.121
260	0.957	0.515	0.366	0.144	0.617	0.084	0.053	0.131
270	1.049	0.571	0.391	0.146	0.694	0.093	0.056	0.134
280	1.076	0.605	0.417	0.168	0.712	0.096	0.058	0.144
290	1.144	0.66	0.445	0.167	0.764	0.106	0.06	0.147
300	1.325	0.69	0.498	0.19	0.816	0.11	0.062	0.152
310	1.385	0.76	0.503	0.201	0.908	0.116	0.065	0.163
320	1.425	0.783	0.537	0.228	0.932	0.13	0.066	0.166
330	1.568	0.863	0.57	0.232	1.056	0.127	0.07	0.171
340	1.633	0.886	0.599	0.234	1.045	0.136	0.072	0.176
350	1.837	0.965	0.633	0.257	1.113	0.143	0.076	0.192
360	1.838	0.997	0.666	0.279	1.169	0.146	0.077	0.184
370	1.939	1.076	0.701	0.295	1.233	0.154	0.079	0.196
